id,surname,name,account id,number,agency,balance,limit,card id,card number,card limit1
1,Kotb,Kareem,2,01.0992923-4,23,19025025,200000,1,xxxx xxxx xxxx 1111,200000
2,Helal,Asma,5,01.0510674-4,23,49800959,200000,1,xxxx xxxx xxxx 1111,200000
3,Fayed,Yahia,2,01.0284409-4,23,35546855,200000,1,xxxx xxxx xxxx 1111,200000
4,Ibrahim,Hassanya,2,01.0929856-4,23,20364916,200000,1,xxxx xxxx xxxx 1111,200000
5,Fikry,Afreen,3,01.0772160-4,23,40227453,200000,1,xxxx xxxx xxxx 1111,200000
6,Issa,Dalal,3,01.0298617-4,23,14459531,200000,1,xxxx xxxx xxxx 1111,200000
7,Gaber,Mohamed,3,01.0462028-4,23,25634417,200000,1,xxxx xxxx xxxx 1111,200000
8,Medhat,Uday,4,,23,36560471,200000,1,xxxx xxxx xxxx 1111,200000
9,Raouf,Wael,5,01.0948565-4,23,6467097,200000,1,xxxx xxxx xxxx 1111,200000
10,Nassar,Wael,4,01.0048134-4,23,5336062,200000,1,xxxx xxxx xxxx 1111,200000
11,Rezk,Rasheeda,1,01.0714615-4,23,15898804,200000,1,xxxx xxxx xxxx 1111,200000
12,Fawzi,Umar,3,01.0851932-4,23,12951209,200000,1,xxxx xxxx xxxx 1111,200000
13,Mabrouk,Jibrail,1,01.0234278-4,23,27493484,200000,1,xxxx xxxx xxxx 1111,200000
14,Badh,Dalal,1,01.0188875-4,23,33714382,200000,1,xxxx xxxx xxxx 1111,200000
15,Soliman,Mohamed,3,01.0766063-4,23,40675935,200000,1,xxxx xxxx xxxx 1111,200000
16,Rashwan,Abdul,2,01.0564128-4,23,16537779,200000,1,xxxx xxxx xxxx 1111,200000
17,Sharaf,Abdul,4,01.0310199-4,23,,200000,1,xxxx xxxx xxxx 1111,200000
18,Zaky,Nazim,5,01.0758179-4,23,-1505463,200000,1,xxxx xxxx xxxx 1111,200000
19,Sallam,Kareem,3,01.0401697-4,23,47172987,200000,1,xxxx xxxx xxxx 1111,200000
20,Yousry,Nazim,1,01.0042497-4,23,23661764,200000,1,xxxx xxxx xxxx 1111,200000
21,Helmy,Bashar,5,01.0711158-4,23,26230836,200000,1,xxxx xxxx xxxx 1111,200000
22,Elnaggar,Aziz,3,01.0274432-4,23,49868834,200000,1,xxxx xxxx xxxx 1111,200000
23,Abo,Wael,3,01.0675181-4,23,-4829082,200000,1,xxxx xxxx xxxx 1111,200000
24,Hisham,Nadja,3,01.0993009-4,23,18205666,200000,1,xxxx xxxx xxxx 1111,200000
25,Saeed,Nafujjah,4,01.0867174-4,23,-6343261,200000,1,xxxx xxxx xxxx 1111,200000
26,Salim,Kadr,3,01.0096902-4,23,46431153,200000,1,xxxx xxxx xxxx 1111,200000
27,Ailhiyah,Habiba,3,01.0570799-4,23,16049808,200000,1,xxxx xxxx xxxx 1111,200000
28,Ghoneim,Kareem,5,01.0017094-4,23,28778744,200000,1,xxxx xxxx xxxx 1111,200000
29,Eid,Aziz,5,01.0708945-4,23,2233483,200000,1,xxxx xxxx xxxx 1111,200000
30,Mahmoud,Ab,3,01.0514274-4,23,-6132360,200000,1,xxxx xxxx xxxx 1111,200000
31,Osman,Nazim,2,01.0472094-4,23,-9558567,200000,1,xxxx xxxx xxxx 1111,200000
32,Ezzat,Bashar,1,01.0130775-4,23,15884791,200000,1,xxxx xxxx xxxx 1111,200000
33,Kareem,Rasheeda,2,01.0837740-4,23,-6465732,200000,1,xxxx xxxx xxxx 1111,200000
34,Nady,Mohamed,5,01.0043122-4,23,11912097,200000,1,xxxx xxxx xxxx 1111,200000
35,Abdelkader,Nadja,1,01.0083131-4,23,12174334,200000,1,xxxx xxxx xxxx 1111,200000
36,Adam,Bashar,1,,23,5061625,200000,1,xxxx xxxx xxxx 1111,200000
37,Yasser,Mohamed,3,01.0912827-4,23,27541120,200000,1,xxxx xxxx xxxx 1111,200000
38,Badr,Kareem,3,01.0217875-4,23,44864310,200000,1,xxxx xxxx xxxx 1111,200000
39,Belal,Sadam,5,01.0994364-4,23,18680137,200000,1,xxxx xxxx xxxx 1111,200000
40,Ismail,Ashraqat,4,01.0578340-4,23,-9330247,200000,1,xxxx xxxx xxxx 1111,200000
41,Shams,Zahir,2,01.0910504-4,23,2010182,200000,1,xxxx xxxx xxxx 1111,200000
42,El sayed,Mohamed,4,01.0604416-4,23,45630131,200000,1,xxxx xxxx xxxx 1111,200000
43,Mabrouk,Abu,2,01.0558075-4,23,15716307,200000,1,xxxx xxxx xxxx 1111,200000
44,Adam,Nafujjah,4,01.0236799-4,23,508480,200000,1,xxxx xxxx xxxx 1111,200000
45,Zaky,Wael,5,01.0350862-4,23,-2494884,200000,1,xxxx xxxx xxxx 1111,200000
46,Ehab,Asma,3,01.0173142-4,23,49597175,200000,1,xxxx xxxx xxxx 1111,200000
47,Aly,Aisha,3,01.0996726-4,23,1783640,200000,1,xxxx xxxx xxxx 1111,200000
48,Raslan,Abdul,3,01.0507767-4,23,45822783,200000,1,xxxx xxxx xxxx 1111,200000
49,Hussein,Yacine,1,01.0141473-4,23,14352040,200000,1,xxxx xxxx xxxx 1111,200000
50,Sameh,Abdul,5,01.0494473-4,23,25073921,200000,1,xxxx xxxx xxxx 1111,200000
51,Yassin,Zahir,5,01.0181267-4,23,-1105809,200000,1,xxxx xxxx xxxx 1111,200000
52,Mohamad,Fatmah,2,,23,,200000,1,xxxx xxxx xxxx 1111,200000
53,Youssef,Aisha,5,01.0704922-4,23,11802879,200000,1,xxxx xxxx xxxx 1111,200000
54,Elnaggar,Yusuf,3,01.0496388-4,23,-7524952,200000,1,xxxx xxxx xxxx 1111,200000
55,Zahran,Uday,1,01.0283093-4,23,35612059,200000,1,xxxx xxxx xxxx 1111,200000
56,Malak,Kadr,1,01.0458201-4,23,-4948559,200000,1,xxxx xxxx xxxx 1111,200000
57,Hamza,Aisha,1,01.0130090-4,23,-85589,200000,1,xxxx xxxx xxxx 1111,200000
58,Alalah,Abu,4,01.0719734-4,23,48904239,200000,1,xxxx xxxx xxxx 1111,200000
59,Wadesdani,Kareem,5,01.0472945-4,23,-1131022,200000,1,xxxx xxxx xxxx 1111,200000
60,Hammad,Yacine,4,01.0269259-4,23,3860108,200000,1,xxxx xxxx xxxx 1111,200000
61,Hamouda,Habiba,5,01.0009870-4,23,16782356,200000,1,xxxx xxxx xxxx 1111,200000
62,Helal,Asma,2,01.0646148-4,23,31295360,200000,1,xxxx xxxx xxxx 1111,200000
63,Abdullah,Yusuf,2,01.0710639-4,23,22436563,200000,1,xxxx xxxx xxxx 1111,200000
64,Eissa,Ab,5,01.0994133-4,23,32251449,200000,1,xxxx xxxx xxxx 1111,200000
65,Hany,Nazim,3,01.0270993-4,23,44008701,200000,1,xxxx xxxx xxxx 1111,200000
66,Magdy,Mussa,1,01.0368442-4,23,42083811,200000,1,xxxx xxxx xxxx 1111,200000
67,Kassem,Jibrail,2,01.0563137-4,23,17015094,200000,1,xxxx xxxx xxxx 1111,200000
68,Azzam,Mohamed,4,01.0816276-4,23,31049271,200000,1,xxxx xxxx xxxx 1111,200000
69,Abdelrahman,Ab,2,01.0359059-4,23,12538236,200000,1,xxxx xxxx xxxx 1111,200000
70,Hashem,Mussa,2,01.0718574-4,23,31397115,200000,1,xxxx xxxx xxxx 1111,200000
71,Younes,Umar,2,01.0599562-4,23,-1606691,200000,1,xxxx xxxx xxxx 1111,200000
72,Asaad,Bushra,5,01.0584295-4,23,39188542,200000,1,xxxx xxxx xxxx 1111,200000
73,Zagazig,Mussa,4,01.0584463-4,23,12678526,200000,1,xxxx xxxx xxxx 1111,200000
74,Samir,Rasheed,3,01.0214866-4,23,24746252,200000,1,xxxx xxxx xxxx 1111,200000
75,Atia,Ab,5,01.0162463-4,23,44316312,200000,1,xxxx xxxx xxxx 1111,200000
76,Saleh,Umar,4,01.0192553-4,23,19601165,200000,1,xxxx xxxx xxxx 1111,200000
77,Darwish,Rabbah,1,01.0992209-4,23,14049006,200000,1,xxxx xxxx xxxx 1111,200000
78,Hanafy,Aisha,2,01.0985650-4,23,39110169,200000,1,xxxx xxxx xxxx 1111,200000
79,Yahia,Dalal,5,01.0590226-4,23,17263805,200000,1,xxxx xxxx xxxx 1111,200000
80,Farid,Amal,1,01.0913710-4,23,-9900124,200000,1,xxxx xxxx xxxx 1111,200000
81,Ramadan,Amal,2,01.0489668-4,23,34607533,200000,1,xxxx xxxx xxxx 1111,200000
82,Fares,Abdul,1,01.0001570-4,23,-2377655,200000,1,xxxx xxxx xxxx 1111,200000
83,Fadel,Zahir,1,01.0285781-4,23,49683863,200000,1,xxxx xxxx xxxx 1111,200000
84,Badr,Muammar,4,01.0178636-4,23,7286322,200000,1,xxxx xxxx xxxx 1111,200000
85,Rashed,Bushra,3,01.0596778-4,23,-5701288,200000,1,xxxx xxxx xxxx 1111,200000
86,Hegazy,Rashida,1,01.0902817-4,23,39589714,200000,1,xxxx xxxx xxxx 1111,200000
87,Ragab,Chaima,3,01.0483002-4,23,18031186,200000,1,xxxx xxxx xxxx 1111,200000
88,Lalh,Yehia,2,01.0247774-4,23,4031742,200000,1,xxxx xxxx xxxx 1111,200000
89,Metwally,Sadam,2,01.0563361-4,23,11548344,200000,1,xxxx xxxx xxxx 1111,200000
90,Saied,Muammar,5,01.0902358-4,23,6177443,200000,1,xxxx xxxx xxxx 1111,200000
91,Younes,Fatmah,3,01.0378304-4,23,30328806,200000,1,xxxx xxxx xxxx 1111,200000
92,Elnagar,Waleed,4,01.0456945-4,23,48050713,200000,1,xxxx xxxx xxxx 1111,200000
93,Islam,Zahir,1,01.0165859-4,23,42518133,200000,1,xxxx xxxx xxxx 1111,200000
94,Gomaa,Asma,1,01.0326580-4,23,16878609,200000,1,xxxx xxxx xxxx 1111,200000
95,Awad,Yacine,5,01.0892235-4,23,47988357,200000,1,xxxx xxxx xxxx 1111,200000
96,Shaheen,Amal,1,01.0406246-4,23,17630121,200000,1,xxxx xxxx xxxx 1111,200000
97,Islam,Fatmah,1,01.0843627-4,23,36491962,200000,1,xxxx xxxx xxxx 1111,200000
98,Alasid,Yehia,5,01.0908826-4,23,21373770,200000,1,xxxx xxxx xxxx 1111,200000
99,Abu zaid,Fatmah,4,01.0265761-4,23,21558266,200000,1,xxxx xxxx xxxx 1111,200000
100,Makram,Rabbah,1,01.0978683-4,23,4963131,200000,1,xxxx xxxx xxxx 1111,200000
101,Abu,Jibrail,1,01.0904100-4,23,26734188,200000,1,xxxx xxxx xxxx 1111,200000
102,Kamel,Mussa,1,01.0371187-4,23,-1735455,200000,1,xxxx xxxx xxxx 1111,200000
103,Hesham,Hassanya,3,01.0155216-4,23,46510279,200000,1,xxxx xxxx xxxx 1111,200000
104,Zaghloul,Nadja,5,01.0022730-4,23,19873986,200000,1,xxxx xxxx xxxx 1111,200000
105,Bakr,Samr,4,01.0673772-4,23,41437948,200000,1,xxxx xxxx xxxx 1111,200000
106,Mansour,Aziz,5,01.0410989-4,23,45796668,200000,1,xxxx xxxx xxxx 1111,200000
107,Zein,Rasheed,5,01.0218059-4,23,38769980,200000,1,xxxx xxxx xxxx 1111,200000
108,Shalaby,Abu,2,01.0789800-4,23,13252675,200000,1,xxxx xxxx xxxx 1111,200000
109,Younis,Zahir,1,01.0183775-4,23,45787650,200000,1,xxxx xxxx xxxx 1111,200000
110,Elmasry,Asma,5,01.0171885-4,23,4847043,200000,1,xxxx xxxx xxxx 1111,200000
111,Elsaid,Kareem,4,01.0281351-4,23,16753605,200000,1,xxxx xxxx xxxx 1111,200000
112,Mabrouk,Asma,2,01.0523416-4,23,16108153,200000,1,xxxx xxxx xxxx 1111,200000
113,Zayed,Boulos,1,01.0107481-4,23,48588014,200000,1,xxxx xxxx xxxx 1111,200000
114,Elnaggar,Zakaryya,4,01.0925544-4,23,-4875785,200000,1,xxxx xxxx xxxx 1111,200000
115,Khalaf,Waleed,2,,23,17883415,200000,1,xxxx xxxx xxxx 1111,200000
116,Atef,Aziz,2,01.0261947-4,23,34395735,200000,1,xxxx xxxx xxxx 1111,200000
117,Mahdy,Kadr,3,01.0372968-4,23,29923200,200000,1,xxxx xxxx xxxx 1111,200000
118,Hashim,Kareem,2,01.0154201-4,23,38957067,200000,1,xxxx xxxx xxxx 1111,200000
119,Amin,Yehia,1,01.0586535-4,23,-201511,200000,1,xxxx xxxx xxxx 1111,200000
120,Abdo,Habiba,3,01.0530158-4,23,-701135,200000,1,xxxx xxxx xxxx 1111,200000
